province,name,address
连云港,中山西路店,连云港市连云区中山西路与平山路交汇处
泰州,高港店,泰州市高港区金港中路1号
苏州,金港店,张家港市金港镇黄泗浦西路1号
镇江,京口店,镇江市京口区老山路与焦山路西北侧
上海,美兰湖店,上海市宝山区月罗路2380号1幢
扬州,维扬店,扬州市竹西路2号
合肥,望江店,安徽省合肥市包河区望江东路与当涂路交口西北角
苏州,广济店,苏州市金阊区广济南路19号
上海,安亭店,上海市嘉定区墨玉南路1099号
滁州,定远店,滁州市定远县鲁肃大道与黎明路交叉口东南角
宣城,广德店,安徽省广德市万桂山路与玮二路西南角
芜湖,南陵店,南陵县籍山镇文庙路与利民路东北
宿迁,泗洪店,泗洪县泗州大道与青阳路交汇处（富源广场）
池州,池州店,池州市贵池区长江中路与翠微路交叉口西北角
无锡,凤宾路店,无锡市北塘区凤宾路与民丰路交汇处
蚌埠,明珠店,蚌埠市解放路与凤阳东路交叉口西北角
金华,金华店,浙江省金华市八一南街1159？（印象城）
马鞍山,当涂店,马鞍山市当涂县青莲路与振兴路交叉口西北角
苏州,前进店,昆山市开发区前进东路205号
镇江,大港店,镇江市新区大港扬子江路123号
上海,泥城店,上海市浦东新区南芦公路1757号
滁州,滁州店,滁州市琅琊区丰乐大道475号
南京,溧水店,溧水县永阳镇天生桥大道与致远路交汇处
淮安,淮阴店,淮安市承德北路与黄河路交汇处东北角
淮安,盱眙店,淮安市盱眙县都梁大道与东湖南路交汇处
芜湖,繁昌店,芜湖市繁昌县繁阳镇迎春东路与环城东路交汇处西北角
淮北,相山店,淮北市相山路与南黎路交口东北角
宣城,宣州店,安徽省宣城市宣州区梅溪路与昭亭南路交汇处西南角
杭州,市心店,萧山区北干街道市心中路123-A号
